Customer_ID,Customer_Name,Email,Age,City,Signup_Date
1000,Customer_1000,customer_1000@email.com,25,Chennai,2022-01-01 00:00:00.000000
1001,Customer_1001,customer_1001@email.com,42,Mumbai,2022-01-01 13:07:43.509006
1002,Customer_1002,customer_1002@email.com,27,Chennai,2022-01-02 02:15:27.018012
1003,Customer_1003,customer_1003@email.com,39,Delhi,2022-01-02 15:23:10.527018
1004,Customer_1004,customer_1004@email.com,52,Bangalore,2022-01-03 04:30:54.036024
1005,Customer_1005,customer_1005@email.com,59,Pune,2022-01-03 17:38:37.545030
1006,Customer_1006,customer_1006@email.com,41,Pune,2022-01-04 06:46:21.054036
1007,Customer_1007,customer_1007@email.com,43,Hyderabad,2022-01-04 19:54:04.563042
1008,Customer_1008,customer_1008@email.com,48,Kolkata,2022-01-05 09:01:48.072048
1009,Customer_1009,customer_1009@email.com,40,Chennai,2022-01-05 22:09:31.581054
1010,Customer_1010,customer_1010@email.com,19,Bangalore,2022-01-06 11:17:15.090060
1011,Customer_1011,customer_1011@email.com,56,Bangalore,2022-01-07 00:24:58.599066
1012,Customer_1012,customer_1012@email.com,50,Bangalore,2022-01-07 13:32:42.108072
1013,Customer_1013,customer_1013@email.com,41,Bangalore,2022-01-08 02:40:25.617078
1014,Customer_1014,customer_1014@email.com,29,Bangalore,2022-01-08 15:48:09.126084
1015,Customer_1015,customer_1015@email.com,54,Kolkata,2022-01-09 04:55:52.635090
1016,Customer_1016,customer_1016@email.com,26,Hyderabad,2022-01-09 18:03:36.144096
1017,Customer_1017,customer_1017@email.com,61,Pune,2022-01-10 07:11:19.653102
1018,Customer_1018,customer_1018@email.com,60,Hyderabad,2022-01-10 20:19:03.162108
1019,Customer_1019,customer_1019@email.com,61,Chennai,2022-01-11 09:26:46.671114
1020,Customer_1020,customer_1020@email.com,20,Pune,2022-01-11 22:34:30.180120
1021,Customer_1021,customer_1021@email.com,61,Pune,2022-01-12 11:42:13.689126
1022,Customer_1022,customer_1022@email.com,40,Mumbai,2022-01-13 00:49:57.198132
1023,Customer_1023,customer_1023@email.com,41,Chennai,2022-01-13 13:57:40.707138
1024,Customer_1024,customer_1024@email.com,50,Kolkata,2022-01-14 03:05:24.216144
1025,Customer_1025,customer_1025@email.com,47,Bangalore,2022-01-14 16:13:07.725150
1026,Customer_1026,customer_1026@email.com,55,Mumbai,2022-01-15 05:20:51.234156
1027,Customer_1027,customer_1027@email.com,60,Pune,2022-01-15 18:28:34.743162
1028,Customer_1028,customer_1028@email.com,19,Kolkata,2022-01-16 07:36:18.252168
1029,Customer_1029,customer_1029@email.com,57,Kolkata,2022-01-16 20:44:01.761174
1030,Customer_1030,customer_1030@email.com,39,Chennai,2022-01-17 09:51:45.270180
1031,Customer_1031,customer_1031@email.com,28,Mumbai,2022-01-17 22:59:28.779186
1032,Customer_1032,customer_1032@email.com,29,Pune,2022-01-18 12:07:12.288192
1033,Customer_1033,customer_1033@email.com,36,Hyderabad,2022-01-19 01:14:55.797198
1034,Customer_1034,customer_1034@email.com,37,Bangalore,2022-01-19 14:22:39.306204
1035,Customer_1035,customer_1035@email.com,26,Kolkata,2022-01-20 03:30:22.815210
1036,Customer_1036,customer_1036@email.com,60,Mumbai,2022-01-20 16:38:06.324216
1037,Customer_1037,customer_1037@email.com,35,Delhi,2022-01-21 05:45:49.833222
1038,Customer_1038,customer_1038@email.com,58,Bangalore,2022-01-21 18:53:33.342228
1039,Customer_1039,customer_1039@email.com,64,Hyderabad,2022-01-22 08:01:16.851234
1040,Customer_1040,customer_1040@email.com,35,Hyderabad,2022-01-22 21:09:00.360240
1041,Customer_1041,customer_1041@email.com,57,Chennai,2022-01-23 10:16:43.869246
1042,Customer_1042,customer_1042@email.com,53,Kolkata,2022-01-23 23:24:27.378252
1043,Customer_1043,customer_1043@email.com,44,Pune,2022-01-24 12:32:10.887258
1044,Customer_1044,customer_1044@email.com,30,Delhi,2022-01-25 01:39:54.396264
1045,Customer_1045,customer_1045@email.com,64,Mumbai,2022-01-25 14:47:37.905270
1046,Customer_1046,customer_1046@email.com,25,Kolkata,2022-01-26 03:55:21.414276
1047,Customer_1047,customer_1047@email.com,65,Chennai,2022-01-26 17:03:04.923282
1048,Customer_1048,customer_1048@email.com,60,Hyderabad,2022-01-27 06:10:48.432288
1049,Customer_1049,customer_1049@email.com,40,Mumbai,2022-01-27 19:18:31.941294
1050,Customer_1050,customer_1050@email.com,30,Hyderabad,2022-01-28 08:26:15.450300
1051,Customer_1051,customer_1051@email.com,24,Hyderabad,2022-01-28 21:33:58.959306
1052,Customer_1052,customer_1052@email.com,67,Delhi,2022-01-29 10:41:42.468312
1053,Customer_1053,customer_1053@email.com,57,Bangalore,2022-01-29 23:49:25.977318
1054,Customer_1054,customer_1054@email.com,19,Mumbai,2022-01-30 12:57:09.486324
1055,Customer_1055,customer_1055@email.com,20,Delhi,2022-01-31 02:04:52.995330
1056,Customer_1056,customer_1056@email.com,59,Pune,2022-01-31 15:12:36.504336
1057,Customer_1057,customer_1057@email.com,56,Kolkata,2022-02-01 04:20:20.013342
1058,Customer_1058,customer_1058@email.com,40,Hyderabad,2022-02-01 17:28:03.522348
1059,Customer_1059,customer_1059@email.com,24,Hyderabad,2022-02-02 06:35:47.031354
1060,Customer_1060,customer_1060@email.com,21,Delhi,2022-02-02 19:43:30.540360
1061,Customer_1061,customer_1061@email.com,25,Pune,2022-02-03 08:51:14.049366
1062,Customer_1062,customer_1062@email.com,49,Mumbai,2022-02-03 21:58:57.558372
1063,Customer_1063,customer_1063@email.com,36,Hyderabad,2022-02-04 11:06:41.067378
1064,Customer_1064,customer_1064@email.com,29,Pune,2022-02-05 00:14:24.576384
1065,Customer_1065,customer_1065@email.com,27,Mumbai,2022-02-05 13:22:08.085390
1066,Customer_1066,customer_1066@email.com,31,Delhi,2022-02-06 02:29:51.594396
1067,Customer_1067,customer_1067@email.com,44,Hyderabad,2022-02-06 15:37:35.103402
1068,Customer_1068,customer_1068@email.com,61,Chennai,2022-02-07 04:45:18.612408
1069,Customer_1069,customer_1069@email.com,38,Chennai,2022-02-07 17:53:02.121414
1070,Customer_1070,customer_1070@email.com,37,Hyderabad,2022-02-08 07:00:45.630420
1071,Customer_1071,customer_1071@email.com,21,Bangalore,2022-02-08 20:08:29.139426
1072,Customer_1072,customer_1072@email.com,36,Hyderabad,2022-02-09 09:16:12.648432
1073,Customer_1073,customer_1073@email.com,46,Hyderabad,2022-02-09 22:23:56.157438
1074,Customer_1074,customer_1074@email.com,24,Hyderabad,2022-02-10 11:31:39.666444
1075,Customer_1075,customer_1075@email.com,50,Delhi,2022-02-11 00:39:23.175450
1076,Customer_1076,customer_1076@email.com,25,Hyderabad,2022-02-11 13:47:06.684456
1077,Customer_1077,customer_1077@email.com,28,Hyderabad,2022-02-12 02:54:50.193462
1078,Customer_1078,customer_1078@email.com,50,Delhi,2022-02-12 16:02:33.702468
1079,Customer_1079,customer_1079@email.com,42,Hyderabad,2022-02-13 05:10:17.211474
1080,Customer_1080,customer_1080@email.com,50,Chennai,2022-02-13 18:18:00.720480
1081,Customer_1081,customer_1081@email.com,53,Chennai,2022-02-14 07:25:44.229486
1082,Customer_1082,customer_1082@email.com,43,Kolkata,2022-02-14 20:33:27.738492
1083,Customer_1083,customer_1083@email.com,53,Pune,2022-02-15 09:41:11.247498
